game_name, game_url, img_url, release_date, platform, rating, price, discount_price, discount_rate
Palworld, https://store.steampowered.com/app/1623730/Palworld/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1623730/capsule_sm_120.jpg?t=1705662211, 18 Jan 2024, [' win'], Very Positive94% of the 145,591 user reviews for this game are positive., None, 28,99€, No discount
Enshrouded, https://store.steampowered.com/app/1203620/Enshrouded/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1203620/capsule_sm_120.jpg?t=1706524624, 24 Jan 2024, [' win'], Very Positive84% of the 14,504 user reviews for this game are positive., 29,99€, 26,99€, 010%
Steam Deck, https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1675200/capsule_sm_120.jpg?t=1699990406, , [' win', ' mac', ' linux'], None, None, 369,00€, No discount
Counter-Strike 2, https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/730/capsule_sm_120.jpg?t=1698860631, 21 Aug 2012, [' win', ' linux'], Very Positive87% of the 7,859,402 user reviews for this game are positive., None, Free, No discount
TEKKEN 8, https://store.steampowered.com/app/1778820/TEKKEN_8/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1778820/capsule_sm_120.jpg?t=1706607712, 25 Jan 2024, [' win'], Very Positive91% of the 5,170 user reviews for this game are positive., None, 69,99€, No discount
PUBG: BATTLEGROUNDS, https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/578080/capsule_sm_120.jpg?t=1701911655, 21 Dec 2017, [' win'], Mixed57% of the 2,294,163 user reviews for this game are positive., None, Free, No discount
EA SPORTS FC™ 24, https://store.steampowered.com/app/2195250/EA_SPORTS_FC_24/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2195250/capsule_sm_120.jpg?t=1705958877, 28 Sep 2023, [' win'], Mixed56% of the 36,998 user reviews for this game are positive., 69,99€, 20,99€, 070%
Apex Legends™, https://store.steampowered.com/app/1172470/Apex_Legends/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1172470/capsule_sm_120.jpg?t=1702571386, 4 Nov 2020, [' win'], Mostly Positive78% of the 785,991 user reviews for this game are positive., None, Free, No discount
Suicide Squad: Kill the Justice League, https://store.steampowered.com/app/315210/Suicide_Squad_Kill_the_Justice_League/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/315210/capsule_sm_120.jpg?t=1706521624, 2 Feb 2024, [' win'], None, None, 69,99€, No discount
Persona 3 Reload, https://store.steampowered.com/app/2161700/Persona_3_Reload/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/2161700/capsule_sm_120.jpg?t=1706520095, 1 Feb 2024, [' win'], None, None, 69,99€, No discount
Baldur's Gate 3, https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_7000_150_1, https://cdn.akamai.steamstatic.com/steam/apps/1086940/capsule_sm_120.jpg?t=1705604554, 3 Aug 2023, [' win', ' mac'], Overwhelmingly Positive96% of the 492,736 user reviews for this game are positive., None, 59,99€, No discount
